sample	fq_dir	R1_suffix	R2_suffix	breed
BSZ_1	/data/rawdata/BS	_1.fq.gz	_2.fq.gz	BS
BSZ_12	/data/rawdata/BS	_1.fq.gz	_2.fq.gz	BS
DHZ_100	/data/rawdata/DH	_1.fq.gz	_2.fq.gz	DH
DHZ_12	/data/rawdata/DH	_1.fq.gz	_2.fq.gz	DH
DN_100	/data/rawdata/DN	_1.fq.gz	_2.fq.gz	DN
DN_13	/data/rawdata/DN	_1.fq.gz	_2.fq.gz	DN
DQ_1	/data/rawdata/DQ	_1.fq.gz	_2.fq.gz	DQ
DQ_10	/data/rawdata/DQ	_1.fq.gz	_2.fq.gz	DQ
GL_12	/data/rawdata/GL	_1.fq.gz	_2.fq.gz	GL
GL_15	/data/rawdata/GL	_1.fq.gz	_2.fq.gz	GL
LJZ_12	/data/rawdata/LJ	_1.fq.gz	_2.fq.gz	LJ
LJZ_18	/data/rawdata/LJ	_1.fq.gz	_2.fq.gz	LJ
MG_1	/data/rawdata/MG	_1.fq.gz	_2.fq.gz	MG
MG_15	/data/rawdata/MG	_1.fq.gz	_2.fq.gz	MG
SBZ_66	/data/rawdata/SB	_1.fq.gz	_2.fq.gz	SB
SBZ_11	/data/rawdata/SB	_1.fq.gz	_2.fq.gz	SB
ZTZ_13	/data/rawdata/ZT	_1.fq.gz	_2.fq.gz	ZT
ZTZ_19	/data/rawdata/ZT	_1.fq.gz	_2.fq.gz	ZT
